player_name,minutes,games,goals,npg,position,team_title,league,season,source,wc_goals,wc_apps,wc_starts,wc_shots_on,wc_adj_g90,wc_note
Harry Kane,2469.0,32,33.833,24.25,F M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,2,1,1,3,1.2333,wc:2G/0A in 1app
Ousmane Dembélé,1496.0,27,15.583,14.0,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,2,2,0.9375,wc:1G/1A in 2app
Erling Haaland,3039.0,35,28.917,25.917,F S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,4,2,2,7,0.8564,wc:4G/0A in 2app
Patrik Schick,2024.0,31,18.083,15.333,F M S,Bayer Leverkusen,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.8041,wc:0G/0A in 2app
Marko Arnautovic,587.0,20,5.0,5.0,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,1,2,0,2,0.7666,wc:1G/0A in 2app
Deniz Undav,2097.0,30,17.833,17.833,F M S,VfB Stuttgart,Bundesliga,"2026,2025,2024",understat+espn_wc2026,3,2,0,4,0.7654,wc:3G/2A in 2app
Alexander Sørloth,1932.0,37,15.917,15.5,F S,Atletico Madrid,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,0,0.7415,wc:0G/0A in 2app
Ferrán Torres,1743.0,32,13.5,13.5,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,1,2,0.6971,wc:0G/0A in 2app
Ermedin Demirovic,1805.0,31,13.25,12.667,F S,VfB Stuttgart,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.6607,wc:0G/0A in 2app
Alexander Isak,1750.0,24,12.333,10.667,F S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,3,0.6343,wc:1G/3A in 2app
Igor Matanovic,1564.0,32,11.0,10.0,F S,Freiburg,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.633,wc:0G/0A in 1app
Raphinha,2179.0,30,15.083,12.5,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.623,wc:0G/0A in 2app
Donyell Malen,1088.0,20,7.421,6.316,F,Roma,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.6139,wc:0G/0A in 2app
Borja Iglesias,1930.0,36,12.75,10.417,F S,Celta Vigo,La_liga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.5946,no_wc_data
Can Uzun,981.0,22,6.333,5.75,M S,Eintracht Frankfurt,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.581,wc:0G/0A in 1app
Folarin Balogun,1746.0,25,11.25,9.5,F S,Monaco,Ligue_1,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.5799,wc:2G/0A in 2app
Bradley Barcola,2069.0,33,13.25,13.25,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,1,1,0.5764,wc:1G/0A in 2app
Marcus Thuram,2121.0,31,13.417,13.417,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.5693,wc:0G/0A in 1app
Gonçalo Ramos,1218.0,28,7.667,6.25,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.5665,wc:0G/0A in 1app
Omar Marmoush,1225.0,20,7.706,7.118,F M S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.5662,wc:0G/0A in 2app
Ante Budimir,3000.0,37,18.667,11.833,F S,Osasuna,La_liga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.56,no_wc_data
Viktor Gyokeres,2411.0,38,15.0,12.0,F S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,5,0.5599,wc:1G/1A in 2app
Leroy Sané,1794.0,32,11.0,11.0,M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,0,0.5518,wc:0G/0A in 2app
Amine Gouiri,1809.0,29,11.083,11.083,F M S,Marseille,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,2,2,0.5514,wc:1G/0A in 2app
Mohamed Salah,2831.0,34,17.167,12.833,F M S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,3,0.5458,wc:1G/2A in 2app
Luis Díaz,2529.0,35,15.167,15.167,M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,1,1,1,1,0.5398,wc:1G/1A in 1app
Pavel Sulc,1668.0,29,10.0,10.0,F M S,Lyon,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.5396,wc:0G/0A in 2app
Jamal Musiala,1304.0,21,7.75,7.167,F M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,1,2,2,1,0.5349,wc:1G/0A in 2app
Lautaro Martínez,2528.0,32,14.917,14.917,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.5311,wc:0G/0A in 2app
Jonathan Christian David,2253.0,36,13.167,10.667,F S,Juventus,Serie_A,"2026,2025,2024",understat+espn_wc2026,3,2,2,6,0.526,wc:3G/0A in 2app
Vinícius Júnior,2772.0,36,15.917,12.75,F M S,Real Madrid,La_liga,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.5168,wc:2G/1A in 2app
Yoane Wissa,1591.0,27,9.083,9.083,F S,Newcastle United,EPL,"2026,2025,2024",understat+espn_wc2026,1,1,1,1,0.5138,wc:1G/0A in 1app
Ollie Watkins,2807.0,37,16.0,15.167,F S,Aston Villa,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.513,no_wc_data
Michael Olise,2490.0,35,13.75,13.75,M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.497,wc:0G/3A in 2app
Kai Havertz,1279.0,19,6.917,6.917,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.4867,wc:2G/0A in 2app
Mikel Oyarzabal,2701.0,36,14.5,8.75,F S,Real Sociedad,La_liga,"2026,2025,2024",understat+espn_wc2026,2,2,2,4,0.4832,wc:2G/1A in 2app
Nick Woltemade,1808.0,31,9.667,8.25,F M S,Newcastle United,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4812,no_wc_data
Lamine Yamal,2642.0,33,14.083,12.333,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,1,2,1,2,0.4797,wc:1G/0A in 2app
Jean-Philippe Mateta,2419.0,34,12.833,9.667,F S,Crystal Palace,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4775,no_wc_data
